Timestamp,User,SourceIP,Location,Application,Status,FailureReason,DeviceInfo
2024-10-12 08:52:22,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-12 08:58:15,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-12 09:04:37,ola.hansen@nordavind.no,10.10.0.15,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-12 09:11:44,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-13 08:09:15,hauk.storjord@nordavind.no,10.0.1.121,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-13 08:15:42,hauk.storjord@nordavind.no,10.10.0.21,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-13 08:21:28,synne.berg@nordavind.no,10.0.1.130,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-13 08:27:53,eirik.dahlen@nordavind.no,10.0.1.131,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-13 08:33:17,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-13 08:39:45,sandra.lekve@nordavind.no,10.0.1.160,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-13 08:45:22,frithjof.fredriksen@nordavind.no,10.0.1.170,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-13 08:51:38,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-14 08:07:44,kristian.rosland@nordavind.no,10.0.1.100,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-14 08:13:26,christian.hein@nordavind.no,10.0.1.101,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-14 08:19:52,ingrid.volden@nordavind.no,10.0.1.102,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-14 08:25:38,kjetil.berg@nordavind.no,10.0.1.142,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-14 08:31:15,kjetil.berg@nordavind.no,10.10.0.22,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-14 08:37:42,arne.natskar@nordavind.no,10.0.1.111,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-14 08:43:28,didrik.saether@nordavind.no,10.0.1.112,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-14 08:49:16,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-14 08:55:33,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-15 08:10:22,marius.arder@nordavind.no,10.0.1.120,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-15 08:16:45,marius.arder@nordavind.no,10.10.0.20,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-15 08:22:18,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-15 08:28:44,ola.hansen@nordavind.no,10.10.0.15,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-15 08:34:52,hauk.storjord@nordavind.no,10.0.1.121,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-15 08:41:27,hauk.storjord@nordavind.no,10.10.0.21,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-15 08:47:33,synne.berg@nordavind.no,10.0.1.130,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-15 08:53:18,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-16 08:08:35,eirik.dahlen@nordavind.no,10.0.1.131,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-16 08:14:52,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-16 08:20:38,sandra.lekve@nordavind.no,10.0.1.160,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-16 08:26:15,frithjof.fredriksen@nordavind.no,10.0.1.170,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-16 08:32:44,kristian.rosland@nordavind.no,10.0.1.100,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-16 08:38:27,christian.hein@nordavind.no,10.0.1.101,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-16 08:44:53,ingrid.volden@nordavind.no,10.0.1.102,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-16 08:50:38,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-16 08:56:22,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-17 08:11:48,kjetil.berg@nordavind.no,10.0.1.142,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-17 08:17:33,kjetil.berg@nordavind.no,10.10.0.22,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-17 08:23:19,arne.natskar@nordavind.no,10.0.1.111,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-17 08:29:42,didrik.saether@nordavind.no,10.0.1.112,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-17 08:35:28,marius.arder@nordavind.no,10.0.1.120,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-17 08:41:55,marius.arder@nordavind.no,10.10.0.20,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-17 08:47:38,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-17 08:53:22,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-18 08:09:27,ola.hansen@nordavind.no,10.10.0.15,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-18 08:15:44,hauk.storjord@nordavind.no,10.0.1.121,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-18 08:21:36,hauk.storjord@nordavind.no,10.10.0.21,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-18 08:27:52,synne.berg@nordavind.no,10.0.1.130,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-18 08:33:28,eirik.dahlen@nordavind.no,10.0.1.131,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-18 08:39:45,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-18 08:45:33,sandra.lekve@nordavind.no,10.0.1.160,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-18 08:51:28,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-18 08:57:15,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-19 08:06:33,frithjof.fredriksen@nordavind.no,10.0.1.170,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-19 08:12:48,kristian.rosland@nordavind.no,10.0.1.100,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-19 08:18:22,christian.hein@nordavind.no,10.0.1.101,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-19 08:24:55,ingrid.volden@nordavind.no,10.0.1.102,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-19 08:30:38,kjetil.berg@nordavind.no,10.0.1.142,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-19 08:36:47,kjetil.berg@nordavind.no,10.10.0.22,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
