Timestamp,Actor,Action,Target,TargetType,Details,SourceIP,Result
2024-10-11 15:43:08,kjetil.berg@nordavind.no,Read,Virtual Machine Resources,Virtual Machine,Listed all VM configurations,89.34.237.89,Success
2024-10-11 16:02:37,mari.hansen@nordavind.no,Read,SharePoint Site: Customer Documents,SharePoint,Accessed customer documents folder,89.34.237.91,Success
2024-10-11 16:34:52,hauk.storjord@nordavind.no,Create,dev-database-01,SQL Database,Created development database instance,10.0.1.121,Success
2024-10-12 08:33:29,hauk.storjord@nordavind.no,Update,Azure Key Vault,Key Vault,Rotated storage account keys,10.10.0.21,Success
2024-10-12 09:47:15,kjetil.berg@nordavind.no,Read,Virtual Network Configuration,Network,Reviewed VNet peering settings,10.0.1.087,Success
2024-10-12 10:55:38,synne.berg@nordavind.no,Update,Azure AD Group: Developers,Group,Added new member to developers group,10.0.1.130,Success
2024-10-12 13:22:44,eirik.dahlen@nordavind.no,Create,Diagnostic Settings,Monitoring,Enabled diagnostic logging for VMs,10.0.1.131,Success
2024-10-12 15:18:27,kjetil.berg@nordavind.no,Update,prod-app-server-01,Virtual Machine,Restarted VM for maintenance,10.0.1.087,Success
2024-10-13 08:44:33,mari.hansen@nordavind.no,Read,Azure Cost Management,Billing,Generated cost analysis report,10.0.1.156,Success
2024-10-13 10:29:18,sandra.lekve@nordavind.no,Update,Azure Firewall Rules,Firewall,Updated firewall rule priority,10.0.1.160,Success
2024-10-13 12:15:47,kjetil.berg@nordavind.no,Create,staging-environment,Resource Group,Created staging resource group,10.0.1.087,Success
2024-10-13 14:33:52,frithjof.fredriksen@nordavind.no,Update,Azure AD User: temp.consultant@nordavind.no,User,Extended account expiration date,10.0.1.170,Success
2024-10-13 16:28:15,kristian.rosland@nordavind.no,Read,Azure Security Center,Security,Reviewed security recommendations,10.0.1.100,Success
2024-10-14 08:55:27,christian.hein@nordavind.no,Update,Application Insights,Monitoring,Modified sampling rate to 50%,10.0.1.101,Success
2024-10-14 10:42:38,ingrid.volden@nordavind.no,Create,Alert Rule: High CPU Usage,Monitoring,Created alert for CPU > 80%,10.0.1.102,Success
2024-10-14 12:18:44,kjetil.berg@nordavind.no,Update,Load Balancer Configuration,Load Balancer,Updated backend pool settings,10.0.1.087,Success
2024-10-14 14:37:22,kjetil.berg@nordavind.no,Read,Azure Resource Health,Health,Checked resource health status,10.0.1.142,Success
2024-10-14 16:52:15,kjetil.berg@nordavind.no,Update,Azure Policy,Policy,Enforced tag requirements on resources,10.10.0.22,Success
2024-10-15 08:38:44,arne.natskar@nordavind.no,Create,automation-runbook-backup,Automation,Created backup automation runbook,10.0.1.111,Success
2024-10-15 10:25:33,didrik.saether@nordavind.no,Update,Virtual Network Gateway,VPN,Updated VPN gateway SKU,10.0.1.112,Success
2024-10-15 12:44:18,kjetil.berg@nordavind.no,Read,Azure DevOps Pipelines,DevOps,Reviewed CI/CD pipeline configurations,10.0.1.087,Success
2024-10-15 14:15:47,marius.arder@nordavind.no,Update,Azure AD Group: IT Admins,Group,Removed inactive member from group,10.0.1.120,Success
2024-10-15 16:33:29,marius.arder@nordavind.no,Create,Log Analytics Workspace,Monitoring,Created new workspace for centralized logs,10.10.0.20,Success
2024-10-16 08:47:22,ola.hansen@nordavind.no,Read,Azure Advisor Recommendations,Advisor,Reviewed cost optimization recommendations,10.0.1.142,Success
2024-10-16 10:34:55,ola.hansen@nordavind.no,Update,Azure SQL Database,Database,Scaled database to higher tier,10.10.0.15,Success
2024-10-16 12:28:38,kjetil.berg@nordavind.no,Create,Function App: data-processor,Function,Created Azure function for data processing,10.0.1.087,Success
2024-10-16 14:52:17,hauk.storjord@nordavind.no,Update,Storage Account Replication,Storage,Changed replication from LRS to GRS,10.0.1.121,Success
2024-10-16 16:45:33,hauk.storjord@nordavind.no,Read,Azure Service Health,Health,Checked for service incidents,10.10.0.21,Success
2024-10-17 08:41:28,synne.berg@nordavind.no,Update,Azure AD Conditional Access,Policy,Updated MFA requirements for admins,10.0.1.130,Success
2024-10-17 10:55:42,eirik.dahlen@nordavind.no,Create,Snapshot: prod-db-server-01,Snapshot,Created database snapshot for backup,10.0.1.131,Success
2024-10-17 12:33:18,kjetil.berg@nordavind.no,Update,Azure Container Registry,Container,Pushed new container image v2.3.1,10.0.1.087,Success
2024-10-17 14:18:55,mari.hansen@nordavind.no,Read,Azure Role Assignments,RBAC,Reviewed role-based access control,10.0.1.156,Success
2024-10-17 16:27:44,sandra.lekve@nordavind.no,Update,Azure Traffic Manager,Network,Modified routing method to performance,10.0.1.160,Success
2024-10-18 08:36:33,frithjof.fredriksen@nordavind.no,Create,Alert Rule: Failed Logins,Security,Created alert for failed login attempts,10.0.1.170,Success
2024-10-18 10:48:27,kristian.rosland@nordavind.no,Update,Azure Application Gateway,Network,Updated WAF rules,10.0.1.100,Success
2024-10-18 12:22:55,kjetil.berg@nordavind.no,Read,Kubernetes Cluster Status,AKS,Checked cluster health and node status,10.0.1.087,Success
2024-10-18 14:55:18,christian.hein@nordavind.no,Update,Azure AD Password Policy,Policy,Increased password complexity requirements,10.0.1.101,Success
2024-10-18 16:38:42,ingrid.volden@nordavind.no,Create,Recovery Services Vault,Backup,Created vault for VM backups,10.0.1.102,Success
2024-10-19 08:29:47,kjetil.berg@nordavind.no,Read,Azure Compliance Dashboard,Compliance,Generated compliance report,10.0.1.142,Success
2024-10-19 10:15:33,kjetil.berg@nordavind.no,Update,Azure DNS Zone,DNS,Added new A record for subdomain,10.10.0.22,Success
